TimeStamp,sst,sd,dlprbUsage,partition
21:51:18,1,0,0.000000,40
21:51:20,1,16777210,0.000000,11
21:51:20,1,0,0.000000,40
21:51:22,1,16777210,0.000000,11
21:51:22,1,0,0.000000,40
21:51:24,1,16777210,0.000000,11
21:51:24,1,0,0.000000,40
21:51:26,1,16777210,0.000000,11
21:51:26,1,0,0.000000,40
21:51:28,1,16777210,0.000000,11
21:51:28,1,0,0.000000,40
21:51:30,1,16777210,0.000000,11
21:51:30,1,0,0.000000,40
21:51:32,1,16777210,0.000000,11
21:51:32,1,0,0.000000,40
21:51:34,1,16777210,0.000000,11
21:51:34,1,0,0.000000,40
21:51:36,1,16777210,0.000000,11
21:51:36,1,0,0.000000,40
21:51:38,1,16777210,0.000000,11
21:51:38,1,0,0.000000,40
21:51:40,1,16777210,0.000000,11
21:51:40,1,0,0.000000,40
21:51:42,1,16777210,0.000000,11
21:51:42,1,0,0.000000,40
21:51:44,1,16777210,0.000000,11
21:51:44,1,0,0.000000,40
21:51:46,1,16777210,0.000000,11
21:51:46,1,0,0.000000,40
21:51:48,1,16777210,0.000000,11
21:51:48,1,0,0.000000,40
21:51:50,1,16777210,0.000000,11
21:51:50,1,0,0.000000,40
21:51:52,1,16777210,0.000000,11
21:51:52,1,0,0.000000,40
21:51:54,1,16777210,0.000000,11
21:51:54,1,0,0.000000,40
21:51:56,1,16777210,0.000000,11
21:51:56,1,0,0.000000,40
21:51:58,1,16777210,0.000000,11
21:51:58,1,0,0.000000,40
21:52:00,1,16777210,0.000000,11
21:52:00,1,0,0.000000,40
21:52:02,1,16777210,0.000000,11
21:52:02,1,0,0.000000,40
21:52:04,1,16777210,0.000000,11
21:52:04,1,0,0.000000,40
21:52:06,1,16777210,0.000000,11
21:52:06,1,0,0.000000,40
21:52:08,1,16777210,0.000000,11
21:52:08,1,0,0.000000,40
21:52:10,1,16777210,0.000000,11
21:52:10,1,0,0.000000,40
21:52:12,1,16777210,0.000000,11
21:52:12,1,0,0.000000,40
21:52:14,1,16777210,0.000000,11
21:52:14,1,0,0.000000,40
21:52:16,1,16777210,0.000000,11
21:52:16,1,0,0.000000,40
21:52:18,1,16777210,0.000000,11
21:52:18,1,0,0.005208,40
21:52:20,1,16777210,0.000000,11
21:52:20,1,0,0.000000,40
21:52:22,1,16777210,0.000000,11
21:52:22,1,0,0.000000,40
21:52:24,1,16777210,0.000000,11
21:52:24,1,0,0.007292,40
21:52:26,1,16777210,0.000000,11
21:52:26,1,0,0.000000,40
21:52:28,1,16777210,0.000000,11
21:52:28,1,0,0.000000,40
21:52:30,1,16777210,0.000000,11
21:52:30,1,0,0.000000,40
21:52:32,1,16777210,0.000000,11
21:52:32,1,0,0.000000,40
21:52:34,1,16777210,0.000000,11
21:52:34,1,0,0.000000,40
21:52:36,1,16777210,0.000000,11
21:52:36,1,0,0.000000,40
21:52:38,1,16777210,0.000000,11
21:52:38,1,0,0.000000,40
21:52:40,1,16777210,0.000000,11
21:52:40,1,0,0.000000,40
21:52:42,1,16777210,0.000000,11
21:52:42,1,0,0.000000,40
21:52:44,1,16777210,0.000000,11
21:52:44,1,0,0.000000,40
21:52:46,1,16777210,0.000000,11
21:52:46,1,0,0.000000,40
21:52:48,1,16777210,0.000000,11
21:52:48,1,0,0.000000,40
21:52:50,1,16777210,0.000000,11
21:52:50,1,0,0.000000,40
21:52:52,1,16777210,0.000000,11
21:52:52,1,0,0.000000,40
21:52:54,1,16777210,0.000000,11
21:52:54,1,0,0.000000,40
21:52:56,1,16777210,0.000000,11
21:52:56,1,0,0.000000,40
21:52:58,1,16777210,0.000000,11
21:52:58,1,0,0.000000,40
21:53:00,1,16777210,0.000000,11
21:53:00,1,0,0.000000,40
21:53:02,1,16777210,0.000000,11
21:53:02,1,0,0.000000,40
21:53:04,1,16777210,0.000000,11
21:53:04,1,0,0.000000,40
21:53:06,1,16777210,0.000000,11
21:53:06,1,0,0.000000,40
21:53:08,1,16777210,0.000000,11
21:53:08,1,0,0.000000,40
21:53:10,1,16777210,0.000000,11
21:53:10,1,0,0.000000,40
21:53:12,1,16777210,0.000000,11
21:53:12,1,0,0.000000,40
21:53:14,1,16777210,0.000000,11
21:53:14,1,0,0.000000,40
21:53:16,1,16777210,0.000000,11
21:53:16,1,0,0.000000,40
21:53:18,1,16777210,0.000000,11
21:53:18,1,0,0.000000,40
21:53:20,1,16777210,0.000000,11
21:53:20,1,0,0.000000,40
21:53:22,1,16777210,0.000000,11
21:53:22,1,0,0.000000,40
21:53:24,1,16777210,0.000000,11
21:53:24,1,0,0.000000,40
21:53:26,1,16777210,0.000000,11
21:53:26,1,0,0.000000,40
21:53:28,1,16777210,0.000000,11
21:53:28,1,0,0.000000,40
21:53:30,1,16777210,0.000000,11
21:53:30,1,0,0.000000,40
21:53:32,1,16777210,0.000000,11
21:53:32,1,0,0.000000,40
21:53:34,1,16777210,0.000000,11
21:53:34,1,0,0.000000,40
21:53:36,1,16777210,0.000000,11
21:53:36,1,0,0.000000,40
21:53:38,1,16777210,0.000000,11
21:53:38,1,0,0.000000,40
21:53:40,1,16777210,0.000000,11
21:53:40,1,0,0.000000,40
21:53:42,1,16777210,0.000000,11
21:53:42,1,0,0.000000,40
21:53:44,1,16777210,0.000000,11
21:53:44,1,0,0.000000,40
21:53:46,1,16777210,0.000000,11
21:53:46,1,0,0.000000,40
21:53:48,1,16777210,0.000000,11
21:53:48,1,0,0.000000,40
21:53:50,1,16777210,0.000000,11
21:53:50,1,0,0.000000,40
21:53:52,1,16777210,0.000000,11
21:53:52,1,0,0.000000,40
21:53:54,1,16777210,0.000000,11
21:53:54,1,0,0.000000,40
21:53:56,1,16777210,0.000000,11
21:53:56,1,0,0.000000,40
21:53:58,1,16777210,0.000000,11
21:53:58,1,0,0.000000,40
21:54:00,1,16777210,0.000000,11
21:54:00,1,0,0.012500,40
21:54:02,1,16777210,0.000000,11
21:54:02,1,0,0.000000,40
21:54:04,1,16777210,0.000000,11
21:54:04,1,0,0.000000,40
21:54:06,1,16777210,0.000000,11
21:54:06,1,0,0.000000,40
21:54:08,1,16777210,0.000000,11
21:54:08,1,0,0.000000,40
21:54:10,1,16777210,0.000000,11
21:54:10,1,0,0.000000,40
21:54:12,1,16777210,0.000000,11
21:54:12,1,0,0.000000,40
21:54:14,1,16777210,0.000000,11
21:54:14,1,0,0.000000,40
21:54:16,1,16777210,0.000000,11
21:54:16,1,0,0.000000,40
21:54:18,1,16777210,0.000000,11
21:54:18,1,0,0.000000,40
21:54:20,1,16777210,0.000000,11
21:54:20,1,0,0.000000,40
21:54:22,1,16777210,0.000000,11
21:54:22,1,0,0.000000,40
21:54:24,1,16777210,0.000000,11
21:54:24,1,0,0.000000,40
21:54:26,1,16777210,0.000000,11
21:54:26,1,0,0.000000,40
21:54:28,1,16777210,0.000000,11
21:54:28,1,0,0.000000,40
21:54:30,1,16777210,0.000000,11
21:54:30,1,0,0.000000,40
21:54:32,1,16777210,0.000000,11
21:54:32,1,0,0.000000,40
21:54:34,1,16777210,0.000000,11
21:54:34,1,0,0.000000,40
21:54:36,1,16777210,0.000000,11
21:54:36,1,0,0.000000,40
21:54:38,1,16777210,0.000000,11
21:54:38,1,0,0.000000,40
21:54:40,1,16777210,0.000000,11
21:54:40,1,0,0.000000,40
21:54:42,1,16777210,0.000000,11
21:54:42,1,0,0.000000,40
21:54:44,1,16777210,0.000000,11
21:54:44,1,0,0.000000,40
21:54:46,1,16777210,0.000000,11
21:54:46,1,0,0.000000,40
21:54:48,1,16777210,0.000000,11
21:54:48,1,0,0.000000,40
21:54:50,1,16777210,0.000000,11
21:54:50,1,0,0.000000,40
21:54:52,1,16777210,0.000000,11
21:54:52,1,0,0.000000,40
21:54:54,1,16777210,0.000000,11
21:54:54,1,0,0.000000,40
21:54:56,1,16777210,0.000000,11
21:54:56,1,0,0.000000,40
21:54:58,1,16777210,0.000000,11
21:54:58,1,0,0.000000,40
21:55:00,1,16777210,0.000000,11
21:55:00,1,0,0.000000,40
21:55:02,1,16777210,0.000000,11
21:55:02,1,0,0.000000,40
21:55:04,1,16777210,0.000000,11
21:55:04,1,0,0.000000,40
21:55:06,1,16777210,0.000000,11
21:55:06,1,0,0.000000,40
21:55:08,1,16777210,0.000000,11
21:55:08,1,0,0.000000,40
21:55:10,1,16777210,0.000000,11
21:55:10,1,0,0.000000,40
21:55:12,1,16777210,0.000000,11
21:55:12,1,0,0.000000,40
21:55:14,1,16777210,0.000000,11
21:55:14,1,0,0.000000,40
21:55:16,1,16777210,0.000000,11
21:55:16,1,0,0.000000,40
21:55:18,1,16777210,0.000000,11
21:55:18,1,0,0.000000,40
21:55:20,1,16777210,0.000000,11
21:55:20,1,0,0.000000,40
21:55:22,1,16777210,0.000000,11
21:55:22,1,0,0.000000,40
21:55:24,1,16777210,0.000000,11
21:55:24,1,0,0.000000,40
21:55:26,1,16777210,0.000000,11
21:55:26,1,0,0.000000,40
21:55:28,1,16777210,0.000000,11
21:55:28,1,0,0.000000,40
21:55:30,1,16777210,0.000000,11
21:55:30,1,0,0.000000,40
21:55:32,1,16777210,0.000000,11
21:55:32,1,0,0.000000,40
21:55:34,1,16777210,0.000000,11
21:55:34,1,0,0.000000,40
21:55:36,1,16777210,0.000000,11
21:55:36,1,0,0.000000,40
21:55:38,1,16777210,0.000000,11
21:55:38,1,0,0.000000,40
21:55:40,1,16777210,0.000000,11
21:55:40,1,0,0.000000,40
21:55:42,1,16777210,0.000000,11
21:55:42,1,0,0.000000,40
21:55:44,1,16777210,0.000000,11
21:55:44,1,0,0.000000,40
21:55:46,1,16777210,0.000000,11
21:55:46,1,0,0.000000,40
21:55:48,1,16777210,0.000000,11
21:55:48,1,0,0.000000,40
21:55:50,1,16777210,0.000000,11
21:55:50,1,0,0.000000,40
21:55:52,1,16777210,0.000000,11
21:55:52,1,0,0.000000,40
21:55:54,1,16777210,0.000000,11
21:55:54,1,0,0.000000,40
21:55:56,1,16777210,0.000000,11
21:55:56,1,0,0.000000,40
21:55:58,1,16777210,0.000000,11
21:55:58,1,0,0.000000,40
21:56:00,1,16777210,0.000000,11
21:56:00,1,0,0.000000,40
21:56:02,1,16777210,0.000000,11
21:56:02,1,0,0.000000,40
21:56:04,1,16777210,0.000000,11
21:56:04,1,0,0.000000,40
21:56:06,1,16777210,0.000000,11
21:56:06,1,0,0.000000,40
21:56:08,1,16777210,0.000000,11
21:56:08,1,0,0.000000,40
21:56:10,1,16777210,0.000000,11
21:56:10,1,0,0.000000,40
21:56:12,1,16777210,0.000000,11
21:56:12,1,0,0.000000,40
21:56:14,1,16777210,0.000000,11
21:56:14,1,0,0.000000,40
21:56:16,1,16777210,0.000000,11
21:56:16,1,0,0.000000,40
21:56:18,1,16777210,0.000000,11
21:56:18,1,0,0.000000,40
21:56:20,1,16777210,0.000000,11
21:56:20,1,0,0.000000,40
21:56:22,1,16777210,0.000000,11
21:56:22,1,0,0.000000,40
21:56:24,1,16777210,0.000000,11
21:56:24,1,0,0.000000,40
21:56:26,1,16777210,0.000000,11
21:56:26,1,0,0.000000,40
21:56:28,1,16777210,0.000000,11
21:56:28,1,0,0.000000,40
21:56:30,1,16777210,0.000000,11
21:56:30,1,0,0.000000,40
21:56:32,1,16777210,0.000000,11
21:56:32,1,0,0.000000,40
21:56:34,1,16777210,0.000000,11
21:56:34,1,0,0.000000,40
21:56:36,1,16777210,0.000000,11
21:56:36,1,0,0.000000,40
21:56:38,1,16777210,0.000000,11
21:56:38,1,0,0.000000,40
21:56:40,1,16777210,0.000000,11
21:56:40,1,0,0.000000,40
21:56:42,1,16777210,0.000000,11
21:56:42,1,0,0.000000,40
21:56:44,1,16777210,0.000000,11
21:56:44,1,0,0.000000,40
21:56:46,1,16777210,0.000000,11
21:56:46,1,0,0.000000,40
21:56:48,1,16777210,0.000000,11
21:56:48,1,0,0.000000,40
21:56:50,1,16777210,0.000000,11
21:56:50,1,0,0.000000,40
21:56:52,1,16777210,0.000000,11
21:56:52,1,0,0.000000,40
21:56:54,1,16777210,0.000000,11
21:56:54,1,0,0.000000,40
21:56:56,1,16777210,0.000000,11
21:56:56,1,0,0.000000,40
21:56:58,1,16777210,0.000000,11
21:56:58,1,0,0.000000,40
21:57:00,1,16777210,0.000000,11
21:57:00,1,0,0.000000,40
21:57:02,1,16777210,0.000000,11
21:57:02,1,0,0.000000,40
21:57:04,1,16777210,0.000000,11
21:57:04,1,0,0.000000,40
21:57:06,1,16777210,0.000000,11
21:57:06,1,0,0.000000,40
21:57:08,1,16777210,0.000000,11
21:57:08,1,0,0.000000,40
21:57:10,1,16777210,0.000000,11
21:57:10,1,0,0.000000,40
21:57:12,1,16777210,0.000000,11
21:57:12,1,0,0.000000,40
21:57:14,1,16777210,0.000000,11
21:57:14,1,0,0.000000,40
21:57:16,1,16777210,0.000000,11
21:57:16,1,0,0.000000,40
21:57:18,1,16777210,0.000000,11
21:57:18,1,0,0.000000,40
21:57:20,1,16777210,0.000000,11
21:57:20,1,0,0.000000,40
21:57:22,1,16777210,0.000000,11
21:57:22,1,0,0.000000,40
21:57:24,1,16777210,0.000000,11
21:57:24,1,0,0.000000,40
21:57:26,1,16777210,0.000000,11
21:57:26,1,0,0.000000,40
21:57:28,1,16777210,0.000000,11
21:57:28,1,0,0.000000,40
21:57:30,1,16777210,0.000000,11
21:57:30,1,0,0.000000,40
21:57:32,1,16777210,0.000000,11
21:57:32,1,0,0.000000,40
21:57:34,1,16777210,0.000000,11
21:57:34,1,0,0.000000,40
21:57:36,1,16777210,0.000000,11
21:57:36,1,0,0.000000,40
21:57:38,1,16777210,0.000000,11
21:57:38,1,0,0.000000,40
21:57:40,1,16777210,0.000000,11
21:57:40,1,0,0.000000,40
21:57:42,1,16777210,0.000000,11
