,time,normal_time,partition,prbUsage,sd,sst
1694,2024-09-23T01:27:59Z,01:27:59,40,0.0,0,1
1695,2024-09-23T01:27:59Z,01:27:59,11,0.0,16777210,1
1696,2024-09-23T01:28:04Z,01:28:04,40,0.0,0,1
1697,2024-09-23T01:28:04Z,01:28:04,11,0.0,16777210,1
1698,2024-09-23T01:28:09Z,01:28:09,40,0.00625,0,1
1699,2024-09-23T01:28:09Z,01:28:09,11,0.010606,16777210,1
1700,2024-09-23T01:28:14Z,01:28:14,40,0.0,0,1
1701,2024-09-23T01:28:14Z,01:28:14,11,0.00303,16777210,1
1702,2024-09-23T01:28:19Z,01:28:19,40,0.0,0,1
1703,2024-09-23T01:28:19Z,01:28:19,11,0.009091,16777210,1
1704,2024-09-23T01:28:24Z,01:28:24,40,0.00625,0,1
1705,2024-09-23T01:28:24Z,01:28:24,11,0.172727,16777210,1
1706,2024-09-23T01:28:29Z,01:28:29,40,0.0,0,1
1707,2024-09-23T01:28:29Z,01:28:29,11,0.0,16777210,1
1708,2024-09-23T01:28:34Z,01:28:34,40,0.0,0,1
1709,2024-09-23T01:28:34Z,01:28:34,11,0.0,16777210,1
1710,2024-09-23T01:28:39Z,01:28:39,40,0.00625,0,1
1711,2024-09-23T01:28:39Z,01:28:39,11,0.0,16777210,1
1712,2024-09-23T01:28:44Z,01:28:44,40,0.0,0,1
1713,2024-09-23T01:28:44Z,01:28:44,11,0.0,16777210,1
1714,2024-09-23T01:28:49Z,01:28:49,40,0.0,0,1
1715,2024-09-23T01:28:49Z,01:28:49,11,0.0,16777210,1
1716,2024-09-23T01:28:54Z,01:28:54,40,0.00625,0,1
1717,2024-09-23T01:28:54Z,01:28:54,11,0.0,16777210,1
1718,2024-09-23T01:28:59Z,01:28:59,40,0.0,0,1
1719,2024-09-23T01:28:59Z,01:28:59,11,0.0,16777210,1
1720,2024-09-23T01:29:04Z,01:29:04,40,0.0,0,1
1721,2024-09-23T01:29:04Z,01:29:04,11,0.0,16777210,1
1722,2024-09-23T01:29:12Z,01:29:12,40,0.0,0,1
1723,2024-09-23T01:29:12Z,01:29:12,11,0.0,16777210,1
1724,2024-09-23T01:29:18Z,01:29:18,40,0.0,0,1
1725,2024-09-23T01:29:18Z,01:29:18,11,0.0,16777210,1
1726,2024-09-23T01:29:23Z,01:29:23,40,0.0,0,1
1727,2024-09-23T01:29:23Z,01:29:23,11,0.0,16777210,1
1728,2024-09-23T01:29:28Z,01:29:28,40,0.0,0,1
1729,2024-09-23T01:29:28Z,01:29:28,11,0.0,16777210,1
1730,2024-09-23T01:29:33Z,01:29:33,40,0.0,0,1
1731,2024-09-23T01:29:33Z,01:29:33,11,7.990909,16777210,1
1732,2024-09-23T01:29:38Z,01:29:38,40,0.009583,0,1
1733,2024-09-23T01:29:38Z,01:29:38,11,8.101515,16777210,1
1734,2024-09-23T01:29:43Z,01:29:43,40,0.0,0,1
1735,2024-09-23T01:29:43Z,01:29:43,11,70.092424,16777210,1
1736,2024-09-23T01:29:48Z,01:29:48,40,0.0,0,1
1737,2024-09-23T01:29:48Z,01:29:48,11,73.236364,16777210,1
1738,2024-09-23T01:29:53Z,01:29:53,40,0.0,0,1
1739,2024-09-23T01:29:53Z,01:29:53,11,69.425758,16777210,1
1740,2024-09-23T01:29:58Z,01:29:58,40,0.0,0,1
1741,2024-09-23T01:29:58Z,01:29:58,11,74.083333,16777210,1
1742,2024-09-23T01:30:03Z,01:30:03,40,0.0,0,1
1743,2024-09-23T01:30:03Z,01:30:03,11,70.7,16777210,1
1744,2024-09-23T01:30:08Z,01:30:08,40,0.0,0,1
1745,2024-09-23T01:30:08Z,01:30:08,11,73.410606,16777210,1
1746,2024-09-23T01:30:13Z,01:30:13,40,0.0,0,1
1747,2024-09-23T01:30:13Z,01:30:13,11,70.062121,16777210,1
1748,2024-09-23T01:30:18Z,01:30:18,40,0.0,0,1
1749,2024-09-23T01:30:18Z,01:30:18,11,47.218182,16777210,1
1750,2024-09-23T01:30:23Z,01:30:23,40,0.0,0,1
1751,2024-09-23T01:30:23Z,01:30:23,11,40.380303,16777210,1
1752,2024-09-23T01:30:28Z,01:30:28,40,0.0,0,1
1753,2024-09-23T01:30:28Z,01:30:28,11,74.1,16777210,1
1754,2024-09-23T01:30:33Z,01:30:33,40,0.0,0,1
1755,2024-09-23T01:30:33Z,01:30:33,11,58.171212,16777210,1
1756,2024-09-23T01:30:38Z,01:30:38,40,0.0,0,1
1757,2024-09-23T01:30:38Z,01:30:38,11,73.068182,16777210,1
1758,2024-09-23T01:30:43Z,01:30:43,40,0.0,0,1
1759,2024-09-23T01:30:43Z,01:30:43,11,70.242424,16777210,1
1760,2024-09-23T01:30:48Z,01:30:48,40,0.0,0,1
1761,2024-09-23T01:30:48Z,01:30:48,11,73.071212,16777210,1
1762,2024-09-23T01:30:53Z,01:30:53,40,0.0,0,1
1763,2024-09-23T01:30:53Z,01:30:53,11,68.79697,16777210,1
1764,2024-09-23T01:30:58Z,01:30:58,40,0.0,0,1
1765,2024-09-23T01:30:58Z,01:30:58,11,73.931818,16777210,1
1766,2024-09-23T01:31:03Z,01:31:03,40,0.0,0,1
1767,2024-09-23T01:31:03Z,01:31:03,11,70.263636,16777210,1
1768,2024-09-23T01:31:08Z,01:31:08,40,0.0,0,1
1769,2024-09-23T01:31:08Z,01:31:08,11,72.857576,16777210,1
1770,2024-09-23T01:31:13Z,01:31:13,40,0.0,0,1
1771,2024-09-23T01:31:13Z,01:31:13,11,88.0,16777210,1
1772,2024-09-23T01:31:18Z,01:31:18,40,0.0,0,1
1773,2024-09-23T01:31:18Z,01:31:18,11,99.639131,16777210,1
1774,2024-09-23T01:31:23Z,01:31:23,40,0.0,0,1
1775,2024-09-23T01:31:23Z,01:31:23,11,100.0,16777210,1
1776,2024-09-23T01:31:28Z,01:31:28,40,0.0,0,1
1777,2024-09-23T01:31:28Z,01:31:28,11,58.886364,16777210,1
1778,2024-09-23T01:31:33Z,01:31:33,40,0.0,0,1
1779,2024-09-23T01:31:33Z,01:31:33,11,0.572727,16777210,1
1780,2024-09-23T01:31:38Z,01:31:38,40,0.43625,0,1
1781,2024-09-23T01:31:38Z,01:31:38,11,0.0,16777210,1
1782,2024-09-23T01:31:43Z,01:31:43,40,1.619583,0,1
1783,2024-09-23T01:31:43Z,01:31:43,11,0.092424,16777210,1
1784,2024-09-23T01:31:48Z,01:31:48,40,0.0,0,1
1785,2024-09-23T01:31:48Z,01:31:48,11,6.368182,16777210,1
1786,2024-09-23T01:31:53Z,01:31:53,40,0.0,0,1
1787,2024-09-23T01:31:53Z,01:31:53,11,52.977273,16777210,1
1788,2024-09-23T01:31:58Z,01:31:58,40,0.0025,0,1
1789,2024-09-23T01:31:58Z,01:31:58,11,6.013636,16777210,1
1790,2024-09-23T01:32:03Z,01:32:03,40,0.0,0,1
1791,2024-09-23T01:32:03Z,01:32:03,11,20.589394,16777210,1
1792,2024-09-23T01:32:08Z,01:32:08,40,0.0,0,1
1793,2024-09-23T01:32:08Z,01:32:08,11,69.724242,16777210,1
1794,2024-09-23T01:32:13Z,01:32:13,40,0.004167,0,1
1795,2024-09-23T01:32:13Z,01:32:13,11,0.006061,16777210,1
1796,2024-09-23T01:32:18Z,01:32:18,40,0.0,0,1
1797,2024-09-23T01:32:18Z,01:32:18,11,1.125758,16777210,1
1798,2024-09-23T01:32:23Z,01:32:23,40,0.0,0,1
1799,2024-09-23T01:32:23Z,01:32:23,11,15.840909,16777210,1
1800,2024-09-23T01:32:28Z,01:32:28,40,0.0025,0,1
1801,2024-09-23T01:32:28Z,01:32:28,11,0.042424,16777210,1
